Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_037,045,095,ΠΡΑΣΙΝΟ_000,113,054,ΡΟΥΑ_046,095,255,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΠΡΑΣΙΝΟ_000,179,087,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΜΑΥΡΟ_000,000,000"
,,,,,,,,,,,,,"ΛΑΙΜ_153,255,51,ΛΕΥΚΟ_239,239,239,ΤΥΡΚΟΥΑΖ_0,213,213"
,,,,,,,,,,,,,"ΛΑΙΜ_209,245,084,ΛΕΥΚΟ_255,255,255,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΛΑΧΑΝΙ_209,245,084,ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΚΙΤΡΙΝΟ_021,021,053,ΜΑΥΡΟ_000,000,000"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΡΑΦ_107,142,195,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΕΝΤΑ_023,191,157,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,021,ΜΑΥΡΟ_000,000,000"
,,,,,,,,,,,,,"ΕΜΠΡΙΜΕ_255,255,255"
,,,,,,,,,,,,,"ΒΑΤΟΜΟΥΡΟ_164,036,045,ΣΚΟΥΡΟ ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΠΛΕ_010,010,172,ΣΜΑΡΑΓΔΙ_000,113,054"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,021,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΜΠΛΕ_046,095,255"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΜΠΕΖ_189,174,136,ΡΟΥΑ_046,095,255,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΥΣΤΙΚΙ_084,233,198,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΕΜΠΡΙΜΕ_037,045,095"
,,,,,,,,,,,,,"ΕΚΡΟΥ_189,174,136"
,,,,,,,,,,,,,"ΜΠΛΕ_107,142,195"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΒΑΤΟΜΟΥΡΟ_164,036,045,ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΜΕΛΑΝΖΕ_207,207,207,ΜΠΛΕ_010,010,172,ΠΡΑΣΙΝΟ_000,113,054"
